?
Gem Systems GSM-19 BL 18 VI 2019 Canada

/Gem Systems GSM-19 0018465 v9.0 20 XII 2019 M e2@v9 
/ID 1 file 01survey.b   27 IX 22
/datum  33000.00
/no AC filter
/12.2V
/tune initialize Y auto-tune N 033.9uT
/115200bps
/time nT sq 
093824.0  33717.01 99 
093828.0  33717.08 99 
093832.0  33716.83 99 
093836.0  33720.61 99 
093840.0  33722.84 99 
093844.0  33726.83 99 
093848.0  33724.55 99 
093852.0  33724.97 99 
093856.0  33724.51 99 
093900.0  33723.43 99 
093904.0  33723.58 99 
093908.0  33723.79 99 
093912.0  33724.00 99 
093916.0  33724.28 99 
093920.0  33724.36 99 
093924.0  33724.53 99 
093928.0  33724.72 99 
093932.0  33724.87 99 
093936.0  33725.22 99 
093940.0  33725.40 99 
093944.0  33725.34 99 
093948.0  33725.52 99 
093952.0  33725.89 99 
093956.0  33725.91 99 
094000.0  33726.25 99 
094004.0  33726.36 99 
094008.0  33726.46 99 
094012.0  33726.82 99 
094016.0  33726.98 99 
094020.0  33726.96 99 
094024.0  33727.06 99 
094028.0  33727.19 99 
094032.0  33727.34 99 
094036.0  33727.47 99 
094040.0  33727.56 99 
094044.0  33727.75 99 
094048.0  33727.95 99 
094052.0  33728.17 99 
094056.0  33728.42 99 
094100.0  33728.67 99 
094104.0  33728.88 99 
094108.0  33729.07 99 
094112.0  33729.23 99 
094116.0  33729.40 99 
094120.0  33729.55 99 
094124.0  33729.73 99 
094128.0  33729.99 99 
094132.0  33729.96 99 
094136.0  33730.18 99 
094140.0  33730.18 99 
094144.0  33730.43 99 
094148.0  33730.51 99 
094152.0  33730.33 99 
094156.0  33730.51 99 
094200.0  33730.76 99 
094204.0  33730.66 99 
094208.0  33730.92 99 
094212.0  33731.12 99 
094216.0  33731.11 99 
094220.0  33731.37 99 
094224.0  33731.60 99 
094228.0  33731.75 99 
094232.0  33731.99 99 
094236.0  33732.22 99 
094240.0  33732.22 99 
094244.0  33732.42 99 
094248.0  33732.64 99 
094252.0  33732.65 99 
094256.0  33732.92 99 
094300.0  33732.92 99 
094304.0  33732.92 99 
094308.0  33733.06 99 
094312.0  33733.03 99 
094316.0  33732.98 99 
094320.0  33733.10 99 
094324.0  33733.02 99 
094328.0  33733.02 99 
094332.0  33732.85 99 
094336.0  33732.70 99 
094340.0  33732.64 99 
094344.0  33732.45 99 
094348.0  33732.25 99 
094352.0  33732.23 99 
094356.0  33732.11 99 
094400.0  33732.10 99 
094404.0  33732.02 99 
094408.0  33731.99 99 
094412.0  33731.92 99 
094416.0  33731.99 99 
094420.0  33731.79 99 
094424.0  33731.80 99 
094428.0  33731.85 99 
094432.0  33731.85 99 
094436.0  33731.70 99 
094440.0  33731.74 99 
094444.0  33731.49 99 
094448.0  33731.54 99 
094452.0  33731.22 99 
094456.0  33731.21 99 
094500.0  33731.28 99 
094504.0  33731.07 99 
094508.0  33731.05 99 
094512.0  33731.08 99 
094516.0  33730.78 99 
094520.0  33730.87 99 
094524.0  33730.94 99 
094528.0  33730.90 99 
094532.0  33730.86 99 
094536.0  33730.95 99 
094540.0  33730.68 99 
094544.0  33730.60 99 
094548.0  33730.68 99 
094552.0  33730.42 99 
094556.0  33730.56 99 
094600.0  33730.36 99 
094604.0  33730.33 99 
094608.0  33730.41 99 
094612.0  33730.29 99 
094616.0  33730.23 99 
094620.0  33730.34 99 
094624.0  33730.09 99 
094628.0  33730.16 99 
094632.0  33730.17 99 
094636.0  33730.01 99 
094640.0  33729.98 99 
094644.0  33730.02 99 
094648.0  33729.82 99 
094652.0  33729.68 99 
094656.0  33729.58 99 
094700.0  33729.49 99 
094704.0  33729.57 99 
094708.0  33729.47 99 
094712.0  33729.34 99 
094716.0  33729.09 99 
094720.0  33728.93 99 
094724.0  33728.87 99 
094728.0  33728.94 99 
094732.0  33728.76 99 
094736.0  33728.61 99 
094740.0  33728.67 99 
094744.0  33728.54 99 
094748.0  33728.64 99 
094752.0  33728.45 99 
094756.0  33728.38 99 
094800.0  33728.50 99 
094804.0  33728.30 99 
094808.0  33728.03 99 
094812.0  33727.98 99 
094816.0  33728.01 99 
094820.0  33727.96 99 
094824.0  33727.87 99 
094828.0  33727.73 99 
094832.0  33727.72 99 
094836.0  33727.69 99 
094840.0  33727.61 99 
094844.0  33727.61 99 
094848.0  33727.56 99 
094852.0  33727.58 99 
094856.0  33727.47 99 
094900.0  33727.45 99 
094904.0  33727.49 99 
094908.0  33727.37 99 
094912.0  33727.27 99 
094916.0  33727.26 99 
094920.0  33727.09 99 
094924.0  33727.08 99 
094928.0  33727.02 99 
094932.0  33726.85 99 
094936.0  33726.87 99 
094940.0  33726.81 99 
094944.0  33726.65 99 
094948.0  33726.70 99 
094952.0  33726.86 99 
094956.0  33726.72 99 
095000.0  33726.65 99 
095004.0  33726.72 99 
095008.0  33726.72 99 
095012.0  33726.72 99 
095016.0  33726.72 99 
095020.0  33726.70 99 
095024.0  33726.79 99 
095028.0  33726.75 99 
095032.0  33726.72 99 
095036.0  33726.77 99 
095040.0  33726.83 99 
095044.0  33726.94 99 
095048.0  33726.96 99 
095052.0  33727.01 99 
095056.0  33727.10 99 
095100.0  33727.15 99 
095104.0  33727.29 99 
095108.0  33727.28 99 
095112.0  33727.31 99 
095116.0  33727.48 99 
095120.0  33727.47 99 
095124.0  33727.44 99 
095128.0  33727.43 99 
095132.0  33727.47 99 
095136.0  33727.51 99 
095140.0  33727.62 99 
095144.0  33727.73 99 
095148.0  33727.83 99 
095152.0  33728.00 99 
095156.0  33728.03 99 
095200.0  33728.16 99 
095204.0  33728.23 99 
095208.0  33728.28 99 
095212.0  33728.26 99 
095216.0  33728.24 99 
095220.0  33728.28 99 
095224.0  33728.12 99 
095228.0  33728.15 99 
095232.0  33728.09 99 
095236.0  33727.99 99 
095240.0  33727.96 99 
095244.0  33727.88 99 
095248.0  33727.64 99 
095252.0  33727.55 99 
095256.0  33727.33 99 
095300.0  33727.19 99 
095304.0  33727.09 99 
095308.0  33726.90 99 
095312.0  33726.77 99 
095316.0  33726.62 99 
095320.0  33726.52 99 
095324.0  33726.35 99 
095328.0  33726.08 99 
095332.0  33726.01 99 
095336.0  33725.86 99 
095340.0  33725.61 99 
095344.0  33725.47 99 
095348.0  33725.25 99 
095352.0  33725.29 99 
095356.0  33724.98 99 
095400.0  33724.69 99 
095404.0  33724.73 99 
095408.0  33724.64 99 
095412.0  33724.45 99 
095416.0  33724.42 99 
095420.0  33724.29 99 
095424.0  33724.13 99 
095428.0  33724.24 99 
095432.0  33724.28 99 
095436.0  33724.17 99 
095440.0  33724.12 99 
095444.0  33724.12 99 
095448.0  33724.02 99 
095452.0  33724.12 99 
095456.0  33724.05 99 
095500.0  33724.06 99 
095504.0  33724.05 99 
095508.0  33723.98 99 
095512.0  33724.00 99 
095516.0  33724.11 99 
095520.0  33724.18 99 
095524.0  33724.36 99 
095528.0  33724.51 99 
095532.0  33724.60 99 
095536.0  33724.82 99 
095540.0  33724.98 99 
095544.0  33725.10 99 
095548.0  33725.41 99 
095552.0  33725.68 99 
095556.0  33725.66 99 
095600.0  33725.93 99 
095604.0  33726.08 99 
095608.0  33726.32 99 
095612.0  33726.51 99 
095616.0  33726.69 99 
095620.0  33726.84 99 
095624.0  33727.02 99 
095628.0  33727.12 99 
095632.0  33727.32 99 
095636.0  33727.57 99 
095640.0  33727.78 99 
095644.0  33728.02 99 
095648.0  33728.19 99 
095652.0  33728.29 99 
