

/Gem Systems GSMP-25 001608C v7.0 2 X 2019  ek2l@v7o                           
/ID 1 file 01survey.wm  27 IX 22
/UTC+01
/31P
/GPS datum WGS84 
/00000000
/Easting Northing elevation nT li cor-nT sat time picket-x picket-y 
/line  000000
 0322921.28  1019720.12  000529 033736.8463 1   00000.0000 11 095437.00 00246NE 0000000 N  
 033012.3275 i004 0322921.31 1019720.13 000529 033736.4775 1 00000.0000 11 095438.00 * * 
 033012.3362 i004 0322921.31 1019720.11 000529 033736.4662 1 00000.0000 11 095439.00 * * 
 033012.4416 i--- 0322921.34 1019720.11 000529 033736.5616 1 00000.0000 11 095440.00 * * 
 033012.6650 i004 0322921.26 1019720.08 000529 033736.7850 1 00000.0000 11 095441.00 * * 
 033012.3838 i004 0322921.26 1019720.08 000529 033736.5038 1 00000.0000 11 095442.00 * * 
 033012.6283 i004 0322921.31 1019720.08 000529 033736.7483 1 00000.0000 11 095443.00 * * 
 033012.6609 i--- 0322921.29 1019720.06 000529 033736.7809 1 00000.0000 11 095444.00 * * 
 033012.7902 i004 0322921.29 1019720.05 000529 033736.8902 1 00000.0000 11 095445.00 * * 
 033013.0789 i004 0322921.36 1019720.06 000529 033737.1489 1 00000.0000 11 095446.00 * * 
 033012.8459 i004 0322921.36 1019720.05 000529 033736.8959 1 00000.0000 11 095447.00 * * 
 033012.4874 i--- 0322921.37 1019720.09 000529 033736.5074 1 00000.0000 11 095448.00 * * 
 033012.4262 i004 0322921.37 1019720.07 000529 033736.4762 1 00000.0000 11 095449.00 * * 
 033012.3491 i004 0322921.40 1019720.08 000529 033736.4191 1 00000.0000 11 095450.00 * * 
 033012.3073 i004 0322921.34 1019720.08 000529 033736.4073 1 00000.0000 11 095451.00 * * 
 033012.2458 i--- 0322921.38 1019720.07 000529 033736.3658 1 00000.0000 11 095452.00 * * 
 033012.2439 i004 0322921.41 1019720.11 000529 033736.3439 1 00000.0000 11 095453.00 * * 
 033012.4041 i004 0322921.41 1019720.21 000529 033736.4941 1 00000.0000 11 095454.00 * * 
 033012.4052 i004 0322921.36 1019720.16 000529 033736.4752 1 00000.0000 11 095455.00 * * 
 033012.1750 i--- 0322921.40 1019720.05 000529 033736.2250 1 00000.0000 11 095456.00 * * 
 033012.2167 i004 0322921.40 1019720.06 000529 033736.2667 1 00000.0000 11 095457.00 * * 
 033012.3184 i004 0322921.41 1019720.07 000529 033736.3784 1 00000.0000 11 095458.00 * * 
 033012.3375 i004 0322921.43 1019720.06 000529 033736.3975 1 00000.0000 11 095459.00 * * 
 033012.1652 i--- 0322921.44 1019720.05 000529 033736.2252 1 00000.0000 11 095500.00 * * 
 033012.0701 i004 0322921.43 1019720.06 000529 033736.1301 1 00000.0000 11 095501.00 * * 
 033012.1563 i004 0322921.44 1019720.07 000529 033736.2163 1 00000.0000 11 095502.00 * * 
 033012.1652 i004 0322921.48 1019720.07 000529 033736.2152 1 00000.0000 11 095503.00 * * 
 033012.1846 i--- 0322921.51 1019720.08 000529 033736.2346 1 00000.0000 11 095504.00 * * 
 033012.2166 i004 0322921.53 1019720.06 000529 033736.2466 1 00000.0000 11 095505.00 * * 
 033012.0258 i004 0322921.50 1019720.03 000529 033736.0458 1 00000.0000 11 095506.00 * * 
 033012.0056 i004 0322921.47 1019719.99 000529 033736.0056 1 00000.0000 11 095507.00 * * 
 033012.0376 i--- 0322921.51 1019720.00 000529 033736.0176 1 00000.0000 11 095508.00 * * 
 033011.9575 i004 0322921.52 1019720.04 000529 033735.9475 1 00000.0000 11 095509.00 * * 
 033011.9300 i004 0322921.53 1019720.05 000529 033735.9200 1 00000.0000 11 095510.00 * * 
 033011.9855 i004 0322921.53 1019720.06 000529 033735.9855 1 00000.0000 11 095511.00 * * 
 033011.9423 i--- 0322921.51 1019720.04 000529 033735.9423 1 00000.0000 11 095512.00 * * 
 033011.8154 i004 0322921.42 1019719.94 000529 033735.8454 1 00000.0000 11 095513.00 * * 
 033011.5299 i004 0322920.55 1019720.12 000529 033735.5899 1 00000.0000 11 095514.00 * * 
 033010.6891 i004 0322919.70 1019719.74 000529 033734.7691 1 00000.0000 10 095515.00 * * 
 033010.5726 i--- 0322918.92 1019719.25 000529 033734.6826 1 00000.0000 10 095516.00 * * 
 033009.8262 i004 0322918.20 1019718.93 000529 033733.9562 1 00000.0000 10 095517.00 * * 
 033009.6561 i004 0322917.42 1019718.46 000529 033733.8061 1 00000.0000 10 095518.00 * * 
 033010.2248 i004 0322916.36 1019718.28 000529 033734.3848 1 00000.0000 10 095519.00 * * 
 033010.5179 i--- 0322915.24 1019718.34 000529 033734.6979 1 00000.0000 10 095520.00 * * 
 033010.0447 i004 0322914.00 1019718.37 000529 033734.2747 1 00000.0000 10 095521.00 * * 
 033009.2632 i004 0322912.96 1019718.16 000529 033733.5332 1 00000.0000 10 095522.00 * * 
 033008.2788 i004 0322911.80 1019717.67 000529 033732.5988 1 00000.0000 11 095523.00 * * 
 033008.8415 i--- 0322910.78 1019717.06 000529 033733.2015 1 00000.0000 11 095524.00 * * 
 033010.4985 i004 0322909.89 1019716.34 000529 033734.8985 1 00000.0000 11 095525.00 * * 
 033014.3553 i004 0322909.13 1019715.41 000529 033738.7953 1 00000.0000 11 095526.00 * * 
 033016.0419 i004 0322908.54 1019714.51 000529 033740.5119 1 00000.0000 11 095527.00 * * 
 033004.3797 i--- 0322907.62 1019713.64 000529 033728.8897 1 00000.0000 11 095528.00 * * 
 032997.4719 i004 0322906.70 1019712.96 000528 033722.0019 1 00000.0000 11 095529.00 * * 
 032994.6224 i004 0322905.77 1019712.16 000528 033719.1824 1 00000.0000 11 095530.00 * * 
 032991.5669 i004 0322905.05 1019711.06 000528 033716.1469 1 00000.0000 11 095531.00 * * 
 032987.3373 i--- 0322904.34 1019710.07 000528 033711.9373 1 00000.0000 11 095532.00 * * 
 032983.3402 i004 0322903.53 1019709.14 000528 033708.0002 1 00000.0000 11 095533.00 * * 
 032978.3914 i004 0322902.56 1019708.10 000528 033703.1014 1 00000.0000 11 095534.00 * * 
 032977.1992 i004 0322901.73 1019707.19 000528 033701.9692 1 00000.0000 11 095535.00 * * 
 032977.2527 i--- 0322900.75 1019706.44 000528 033702.0727 1 00000.0000 11 095536.00 * * 
 032977.7699 i004 0322899.89 1019705.74 000528 033702.6299 1 00000.0000 11 095537.00 * * 
 032978.3987 i004 0322899.08 1019705.22 000528 033703.2987 1 00000.0000 11 095538.00 * * 
 032978.8905 i004 0322898.52 1019704.79 000528 033703.8305 1 00000.0000 11 095539.00 * * 
 032978.6625 i--- 0322897.43 1019704.77 000528 033703.6425 1 00000.0000 11 095540.00 * * 
 032978.3584 i004 0322896.25 1019705.13 000528 033703.3684 1 00000.0000 11 095541.00 * * 
 032978.3305 i004 0322895.02 1019705.65 000528 033703.3705 1 00000.0000 11 095542.00 * * 
 032978.6632 i004 0322893.84 1019706.19 000528 033703.7332 1 00000.0000 11 095543.00 * * 
 032979.2726 i--- 0322892.79 1019706.57 000528 033704.3726 1 00000.0000 11 095544.00 * * 
 032977.8579 i004 0322891.51 1019706.76 000528 033703.0379 1 00000.0000 11 095545.00 * * 
 032974.8224 i004 0322890.26 1019706.36 000528 033700.0824 1 00000.0000 11 095546.00 * * 
 032972.2420 i004 0322889.11 1019705.94 000527 033697.5720 1 00000.0000 11 095547.00 * * 
 032970.4806 i--- 0322887.79 1019705.61 000527 033695.8906 1 00000.0000 11 095548.00 * * 
 032968.5520 i004 0322886.59 1019705.22 000527 033694.0320 1 00000.0000 11 095549.00 * * 
 032966.0975 i004 0322885.63 1019704.39 000527 033691.6475 1 00000.0000 11 095550.00 * * 
 032963.6874 i004 0322884.80 1019703.27 000527 033689.2974 1 00000.0000 11 095551.00 * * 
 032962.9815 i--- 0322884.35 1019702.22 000527 033688.6615 1 00000.0000 11 095552.00 * * 
 032964.6929 i004 0322883.58 1019701.14 000527 033690.3729 1 00000.0000 11 095553.00 * * 
 032968.7530 i004 0322882.84 1019700.16 000527 033694.4230 1 00000.0000 11 095554.00 * * 
 032972.7241 i004 0322881.94 1019699.19 000527 033698.3941 1 00000.0000 11 095555.00 * * 
 032971.2918 i--- 0322881.07 1019698.38 000527 033696.9518 1 00000.0000 11 095556.00 * * 
 032966.1525 i004 0322880.35 1019697.92 000527 033691.8825 1 00000.0000 11 095557.00 * * 
 032961.3828 i004 0322879.93 1019696.98 000527 033687.1828 1 00000.0000 11 095558.00 * * 
 032924.6367 i004 0322879.50 1019695.97 000527 033650.4967 1 00000.0000 11 095559.00 * * 
 032928.6479 i--- 0322878.53 1019694.89 000527 033654.5779 1 00000.0000 11 095600.00 * * 
 032932.3944 i004 0322877.58 1019693.90 000527 033658.3644 1 00000.0000 11 095601.00 * * 
 032931.4519 i004 0322876.53 1019693.33 000527 033657.4619 1 00000.0000 11 095602.00 * * 
 032926.8796 i004 0322875.43 1019692.57 000526 033652.9196 1 00000.0000 11 095603.00 * * 
 032924.6708 i--- 0322874.48 1019691.72 000526 033650.7508 1 00000.0000 11 095604.00 * * 
 032923.8938 i004 0322873.64 1019690.78 000526 033650.0338 1 00000.0000 11 095605.00 * * 
 032944.2441 i004 0322873.35 1019690.13 000526 033670.4441 1 00000.0000 11 095606.00 * * 
 032957.5033 i004 0322872.85 1019689.99 000526 033683.7633 1 00000.0000 11 095607.00 * * 
 032960.0359 i--- 0322872.04 1019689.46 000526 033686.3559 1 00000.0000 11 095608.00 * * 
 032969.0763 i004 0322871.03 1019688.91 000526 033695.4463 1 00000.0000 11 095609.00 * * 
 032977.8824 i004 0322869.82 1019688.32 000526 033704.3024 1 00000.0000 11 095610.00 * * 
 032987.2388 i004 0322868.53 1019687.97 000526 033713.6988 1 00000.0000 11 095611.00 * * 
 032999.0550 i--- 0322867.19 1019687.78 000526 033725.5650 1 00000.0000 11 095612.00 * * 
 033009.1215 i004 0322866.02 1019687.74 000526 033735.6815 1 00000.0000 11 095613.00 * * 
 033008.2924 i004 0322864.92 1019688.13 000526 033734.8924 1 00000.0000 11 095614.00 * * 
 033000.2180 i004 0322863.73 1019688.94 000526 033726.8680 1 00000.0000 11 095615.00 * * 
 032996.0336 i--- 0322862.90 1019690.02 000526 033722.7236 1 00000.0000 11 095616.00 * * 
 033007.8025 i004 0322862.17 1019691.13 000526 033734.5325 1 00000.0000 11 095617.00 * * 
 033004.7764 i004 0322861.35 1019692.21 000526 033731.5464 1 00000.0000 11 095618.00 * * 
 032992.2172 i004 0322860.84 1019693.48 000526 033719.0172 1 00000.0000 11 095619.00 * * 
 032976.3507 i--- 0322860.50 1019694.85 000526 033703.1907 1 00000.0000 11 095620.00 * * 
 032974.5138 i004 0322860.15 1019695.96 000526 033701.4038 1 00000.0000 11 095621.00 * * 
 032976.6107 i004 0322860.04 1019696.21 000526 033703.5407 1 00000.0000 11 095622.00 * * 
 032974.5717 i004 0322860.13 1019696.21 000526 033701.5517 1 00000.0000 11 095623.00 * * 
 032973.5527 i--- 0322860.05 1019696.24 000526 033700.5727 1 00000.0000 11 095624.00 * * 
 032973.7558 i004 0322860.05 1019696.25 000526 033700.8058 1 00000.0000 11 095625.00 * * 
 032974.2007 i004 0322860.08 1019696.25 000526 033701.2707 1 00000.0000 11 095626.00 * * 
 032974.3866 i004 0322860.08 1019696.26 000526 033701.4866 1 00000.0000 11 095627.00 * * 
 032973.9821 i--- 0322860.10 1019696.27 000526 033701.1021 1 00000.0000 11 095628.00 * * 
 032975.2403 i004 0322859.73 1019696.91 000526 033702.4103 1 00000.0000 11 095629.00 * * 
 032979.4276 i004 0322859.42 1019697.76 000526 033706.6476 1 00000.0000 11 095630.00 * * 
 032981.3682 i004 0322858.91 1019698.69 000526 033708.6382 1 00000.0000 11 095631.00 * * 
