LONG,LAT,Cor_nT
322921.31,1019720.13,33012.3275
322921.31,1019720.11,33012.3362
322921.34,1019720.11,33012.4416
322921.26,1019720.08,33012.665
322921.26,1019720.08,33012.3838
322921.31,1019720.08,33012.6283
322921.29,1019720.06,33012.6609
322921.29,1019720.05,33012.7902
322921.36,1019720.06,33013.0789
322921.36,1019720.05,33012.8459
322921.37,1019720.09,33012.4874
322921.37,1019720.07,33012.4262
322921.4,1019720.08,33012.3491
322921.34,1019720.08,33012.3073
322921.38,1019720.07,33012.2458
322921.41,1019720.11,33012.2439
322921.41,1019720.21,33012.4041
322921.36,1019720.16,33012.4052
322921.4,1019720.05,33012.175
322921.4,1019720.06,33012.2167
322921.41,1019720.07,33012.3184
322921.43,1019720.06,33012.3375
322921.44,1019720.05,33012.1652
322921.43,1019720.06,33012.0701
322921.44,1019720.07,33012.1563
322921.48,1019720.07,33012.1652
322921.51,1019720.08,33012.1846
322921.53,1019720.06,33012.2166
322921.5,1019720.03,33012.0258
322921.47,1019719.99,33012.0056
322921.51,1019720,33012.0376
322921.52,1019720.04,33011.9575
322921.53,1019720.05,33011.93
322921.53,1019720.06,33011.9855
322921.51,1019720.04,33011.9423
322921.42,1019719.94,33011.8154
322920.55,1019720.12,33011.5299
322919.7,1019719.74,33010.6891
322918.92,1019719.25,33010.5726
322918.2,1019718.93,33009.8262
322917.42,1019718.46,33009.6561
322916.36,1019718.28,33010.2248
322915.24,1019718.34,33010.5179
322914,1019718.37,33010.0447
322912.96,1019718.16,33009.2632
322911.8,1019717.67,33008.2788
322910.78,1019717.06,33008.8415
322909.89,1019716.34,33010.4985
322909.13,1019715.41,33014.3553
322908.54,1019714.51,33016.0419
322907.62,1019713.64,33004.3797
322906.7,1019712.96,32997.4719
322905.77,1019712.16,32994.6224
322905.05,1019711.06,32991.5669
322904.34,1019710.07,32987.3373
322903.53,1019709.14,32983.3402
322902.56,1019708.1,32978.3914
322901.73,1019707.19,32977.1992
322900.75,1019706.44,32977.2527
322899.89,1019705.74,32977.7699
322899.08,1019705.22,32978.3987
322898.52,1019704.79,32978.8905
322897.43,1019704.77,32978.6625
322896.25,1019705.13,32978.3584
322895.02,1019705.65,32978.3305
322893.84,1019706.19,32978.6632
322892.79,1019706.57,32979.2726
322891.51,1019706.76,32977.8579
322890.26,1019706.36,32974.8224
322889.11,1019705.94,32972.242
322887.79,1019705.61,32970.4806
322886.59,1019705.22,32968.552
322885.63,1019704.39,32966.0975
322884.8,1019703.27,32963.6874
322884.35,1019702.22,32962.9815
322883.58,1019701.14,32964.6929
322882.84,1019700.16,32968.753
322881.94,1019699.19,32972.7241
322881.07,1019698.38,32971.2918
322880.35,1019697.92,32966.1525
322879.93,1019696.98,32961.3828
322879.5,1019695.97,32924.6367
322878.53,1019694.89,32928.6479
322877.58,1019693.9,32932.3944
322876.53,1019693.33,32931.4519
322875.43,1019692.57,32926.8796
322874.48,1019691.72,32924.6708
322873.64,1019690.78,32923.8938
322873.35,1019690.13,32944.2441
322872.85,1019689.99,32957.5033
322872.04,1019689.46,32960.0359
322871.03,1019688.91,32969.0763
322869.82,1019688.32,32977.8824
322868.53,1019687.97,32987.2388
322867.19,1019687.78,32999.055
322866.02,1019687.74,33009.1215
322864.92,1019688.13,33008.2924
322863.73,1019688.94,33000.218
322862.9,1019690.02,32996.0336
322862.17,1019691.13,33007.8025
322861.35,1019692.21,33004.7764
322860.84,1019693.48,32992.2172
322860.5,1019694.85,32976.3507
322860.15,1019695.96,32974.5138
322860.04,1019696.21,32976.6107
322860.13,1019696.21,32974.5717
322860.05,1019696.24,32973.5527
322860.05,1019696.25,32973.7558
322860.08,1019696.25,32974.2007
322860.08,1019696.26,32974.3866
322860.1,1019696.27,32973.9821
322859.73,1019696.91,32975.2403
322859.42,1019697.76,32979.4276
322858.91,1019698.69,32981.3682
322858.68,1019699.47,32980.9657
322858.63,1019699.51,32979.8033
322858.69,1019699.54,32979.6523
322858.68,1019699.56,32981.7029
322858.64,1019699.54,32981.9619
322858.66,1019699.55,32981.9438
322858.66,1019699.53,32981.9597
322858.69,1019699.52,32981.9726
322858.68,1019699.51,32982.3675
322858.7,1019699.49,32981.9823
322858.66,1019699.52,32981.9512
322858.66,1019699.54,32981.927
322858.65,1019699.53,32981.8987
322858.66,1019699.56,32981.9118
322858.64,1019699.6,32981.9573
322858.64,1019699.68,32982.0579
322857.77,1019699.96,32981.2518
322856.86,1019700.59,32980.9039
322855.88,1019701.31,32981.4001
322854.69,1019701.89,32980.2813
322853.73,1019702.34,32979.1934
322853.27,1019702.97,32977.3069
322853.31,1019704.09,32939.7103
322853.15,1019705.47,32905.0676
322852.94,1019706.49,32935.0768
322852.82,1019707.83,32933.8627
322852.7,1019709.15,32934.6179
322851.88,1019710.13,32965.9152
322851.08,1019711.16,32967.4344
322850.22,1019712.21,32966.7409
322849.45,1019713.13,32967.1534
322848.92,1019714.21,32966.7411
322848.56,1019715.04,32965.2557
322848.45,1019715.32,32963.5254
322848.46,1019715.16,32962.7858
322848.47,1019715.17,32963.2255
322848.45,1019715.14,32962.8304
322848.54,1019715.23,32962.9069
322848.43,1019715.2,32962.6686
322848.46,1019715.14,32963.1759
322848.53,1019715.16,32962.8849
322848.54,1019715.27,32963.1255
322848.51,1019715.26,32962.7525
322848.53,1019715.29,32962.8402
322848.54,1019715.32,32962.822
322848.54,1019715.31,32962.8064
322848.54,1019715.31,32962.8517
322848.55,1019715.33,32962.7621
322848.55,1019715.32,32962.7332
322848.55,1019715.3,32962.69
322848.54,1019715.3,32962.742
322848.57,1019715.29,32962.5904
322848.56,1019715.29,32962.0907
